AfD,BP,BSW,BÜNDNIS DEUTSCHLAND,BüSo,Bündnis C,CDU / CSU,Team Todenhöfer,Die Linke,Die PARTEI,FDP,FREIE WÄHLER,GRÜNE,MENSCHLICHE WELT,MERA25,MLPD,PIRATEN,PdF,PdH,SGP,SPD,SSW,Tierschutzpartei,Verjüngungsforschung,Volt,WerteUnion,dieBasis,ÖDP
100,60,31,71,55,60,60,31,10,10,50,42,10,47,10,10,7,23,21,15,13,5,7,13,5,73,50,18
60,100,15,71,50,71,55,36,15,15,52,60,21,44,15,21,26,23,28,23,18,26,15,10,21,71,52,23
31,15,100,26,42,21,31,55,60,55,36,36,50,28,60,52,47,42,36,57,50,44,50,21,47,28,39,42
71,71,26,100,52,76,60,39,13,18,60,60,23,57,15,13,23,34,21,21,28,18,18,5,18,84,44,28
55,50,42,52,100,57,47,50,42,42,42,39,42,60,39,39,42,36,34,47,36,36,36,0,34,63,50,50
60,71,21,76,57,100,50,36,13,21,42,60,23,55,15,18,26,34,18,23,23,18,15,10,15,65,60,34
60,55,31,60,47,50,100,34,18,21,57,57,36,47,15,10,23,44,31,15,42,28,23,7,23,57,34,28
31,36,55,39,50,36,34,100,68,68,44,55,63,50,71,68,76,52,47,78,60,60,68,2,65,50,47,60
10,15,60,13,42,13,18,68,100,84,26,34,76,28,94,81,81,63,60,86,71,78,84,5,81,23,28,65
10,15,55,18,42,21,21,68,84,100,28,39,76,31,86,78,78,68,60,84,68,81,92,5,89,23,26,68
50,52,36,60,42,42,57,44,26,28,100,55,42,39,28,26,31,42,42,31,36,28,31,10,34,73,18,23
42,60,36,60,39,60,57,55,34,39,55,100,39,42,31,28,50,55,36,39,39,39,39,5,39,60,36,47
10,21,50,23,42,23,36,63,76,76,42,39,100,34,73,65,78,65,60,71,84,81,78,2,81,26,23,57
47,44,28,57,60,55,47,50,28,31,39,42,34,100,31,36,34,39,21,36,39,28,28,15,31,57,50,42
10,15,60,15,39,15,15,71,94,86,28,31,73,31,100,86,78,60,60,92,68,76,86,2,84,26,31,65
10,21,52,13,39,18,10,68,81,78,26,28,65,36,86,100,73,55,50,86,57,71,78,10,76,23,36,63
7,26,47,23,42,26,23,76,81,78,31,50,78,34,78,73,100,71,65,81,71,84,84,2,84,26,34,68
23,23,42,34,36,34,44,52,63,68,42,55,65,39,60,55,71,100,57,57,68,68,68,7,68,31,31,63
21,28,36,21,34,18,31,47,60,60,42,36,60,21,60,50,65,57,100,57,60,68,68,21,68,31,31,50
15,23,57,21,47,23,15,78,86,84,31,39,71,36,92,86,81,57,57,100,63,73,84,0,81,31,39,68
13,18,50,28,36,23,42,60,71,68,36,39,84,39,68,57,71,68,60,63,100,76,76,7,73,28,31,55
5,26,44,18,36,18,28,60,78,81,28,39,81,28,76,71,84,68,68,73,76,100,86,5,92,21,28,65
7,15,50,18,36,15,23,68,84,92,31,39,78,28,86,78,84,68,68,84,76,86,100,5,94,23,28,68
13,10,21,5,0,10,7,2,5,5,10,5,2,15,2,10,2,7,21,0,7,5,5,100,2,0,28,10
5,21,47,18,34,15,23,65,81,89,34,39,81,31,84,76,84,68,68,81,73,92,94,2,100,21,23,68
73,71,28,84,63,65,57,50,23,23,73,60,26,57,26,23,26,31,31,31,28,21,23,0,21,100,42,28
50,52,39,44,50,60,34,47,28,26,18,36,23,50,31,36,34,31,31,39,31,28,28,28,23,42,100,36
18,23,42,28,50,34,28,60,65,68,23,47,57,42,65,63,68,63,50,68,55,65,68,10,68,28,36,100
